monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
8,1999,530503,34,27,7,6
9,1999,530503,30,26,4,3
10,1999,530503,27,24,3,3
11,1999,530503,29,21,8,6
12,1999,530503,34,29,5,1
1,2000,530503,30,24,6,3
2,2000,530503,27,18,9,2
3,2000,530503,39,31,8,3
4,2000,530503,29,21,8,5
5,2000,530503,34,27,7,6
6,2000,530503,30,21,9,4
7,2000,530503,37,33,4,2
8,2000,530503,46,34,12,6
9,2000,530503,38,28,10,4
10,2000,530503,21,13,8,3
11,2000,530503,28,21,7,3
12,2000,530503,21,18,3,3
1,2001,530503,22,17,5,0
2,2001,530503,11,8,3,2
3,2001,530503,29,22,7,1
4,2001,530503,20,20,0,7
5,2001,530503,33,29,4,1
6,2001,530503,35,30,5,4
7,2001,530503,48,39,9,3
8,2001,530503,28,20,8,8
9,2001,530503,40,33,7,5
10,2001,530503,43,36,7,1
11,2001,530503,23,21,2,4
12,2001,530503,25,18,7,2
1,2002,530503,21,13,8,3
2,2002,530503,16,15,1,4
3,2002,530503,23,18,5,9
4,2002,530503,23,10,13,4
5,2002,530503,20,16,4,3
6,2002,530503,28,23,5,8
7,2002,530503,32,27,5,4
8,2002,530503,35,24,11,6
9,2002,530503,26,21,5,9
10,2002,530503,35,28,7,4
11,2002,530503,29,22,7,2
12,2002,530503,26,23,3,4
1,2003,530503,20,15,5,3
2,2003,530503,19,15,4,7
3,2003,530503,23,15,8,8
4,2003,530503,18,14,4,9
5,2003,530503,23,20,3,7
6,2003,530503,30,21,9,11
7,2003,530503,23,17,6,7
8,2003,530503,31,25,6,11
9,2003,530503,17,14,3,12
10,2003,530503,30,23,7,13
11,2003,530503,22,16,6,15
12,2003,530503,18,12,6,14
1,2004,530503,20,15,5,14
2,2004,530503,15,13,2,8
3,2004,530503,28,23,5,11
4,2004,530503,23,16,7,10
5,2004,530503,19,16,3,13
6,2004,530503,37,28,9,19
7,2004,530503,27,18,9,5
8,2004,530503,34,20,14,17
9,2004,530503,28,24,4,8
10,2004,530503,31,27,4,4
11,2004,530503,43,37,6,6
12,2004,530503,21,18,3,13
1,2005,530503,25,20,5,15
2,2005,530503,16,15,1,12
3,2005,530503,25,20,5,12
4,2005,530503,40,30,10,11
5,2005,530503,28,19,9,8
6,2005,530503,24,18,6,11
7,2005,530503,37,31,6,9
8,2005,530503,22,19,3,21
9,2005,530503,27,24,3,2
10,2005,530503,33,25,8,14
11,2005,530503,25,21,4,19
12,2005,530503,31,23,8,10
1,2006,530503,32,27,5,23
2,2006,530503,19,14,5,13
3,2006,530503,24,17,7,8
4,2006,530503,26,21,5,15
5,2006,530503,27,19,8,18
6,2006,530503,22,16,6,9
7,2006,530503,23,19,4,6
8,2006,530503,29,26,3,6
9,2006,530503,28,27,1,9
10,2006,530503,34,32,2,5
11,2006,530503,34,30,4,7
12,2006,530503,19,19,0,4
1,2007,530503,25,23,2,2
2,2007,530503,22,20,2,14
3,2007,530503,20,15,5,21
4,2007,530503,18,16,2,8
5,2007,530503,32,24,8,10
6,2007,530503,30,25,5,15
7,2007,530503,21,15,6,8
8,2007,530503,43,37,6,13
9,2007,530503,32,27,5,10
10,2007,530503,20,14,6,7
11,2007,530503,22,17,5,4
12,2007,530503,21,21,0,5
1,2008,530503,30,26,4,4
2,2008,530503,26,19,7,8
3,2008,530503,12,6,6,3
4,2008,530503,39,36,3,5
5,2008,530503,27,18,9,2
6,2008,530503,24,21,3,1
7,2008,530503,39,34,5,4
8,2008,530503,38,33,5,7
9,2008,530503,39,35,4,1
10,2008,530503,26,24,2,1
11,2008,530503,29,22,7,3
12,2008,530503,32,31,1,4
1,2009,530503,26,22,4,1
2,2009,530503,20,17,3,5
3,2009,530503,21,21,0,5
4,2009,530503,29,20,9,2
5,2009,530503,31,26,5,4
6,2009,530503,32,29,3,6
7,2009,530503,31,28,3,5
8,2009,530503,36,29,7,10
9,2009,530503,26,20,6,4
10,2009,530503,31,26,5,1
11,2009,530503,27,25,2,0
12,2009,530503,23,19,4,1
1,2010,530503,26,21,5,3
2,2010,530503,17,14,3,1
3,2010,530503,24,21,3,4
4,2010,530503,34,27,7,1
5,2010,530503,36,31,5,2
6,2010,530503,34,30,4,4
7,2010,530503,34,30,4,1
8,2010,530503,48,39,9,6
9,2010,530503,22,19,3,5
10,2010,530503,27,25,2,9
11,2010,530503,26,23,3,1
12,2010,530503,34,31,3,2
1,2011,530503,26,23,3,2
2,2011,530503,13,10,3,1
1,1999,838800,27,25,2,9
2,1999,838800,17,11,6,4
3,1999,838800,37,22,15,7
4,1999,838800,31,28,3,11
5,1999,838800,24,20,4,4
6,1999,838800,26,18,8,12
